brand,model,variant,fuel_type,body_type,transmission,owner_type,owner_number,kms_driven,model_year,registration_year,engine_displacement,mileage,max_power,torque,color,engine_type,gear_box,drive_type,steering_type,top_speed,acceleration,price,City,car_age
Honda,Honda City,i VTEC CVT VX,Petrol,Sedan,Automatic,1st Owner,1,31968,2016,2016,1497.0,18.0,117.3,145.0,Brown,i VTEC Engine,5 Speed CVT,FWD,Power,182.5,11.549999999999997,675000.0,Kolkata,9
Hyundai,Hyundai Grand i10 Nios,Asta,Petrol,Hatchback,Manual,2nd Owner,2,44150,2019,2019,1197.0,20.7,81.86,113.8,Blue,1.2 Kappa petrol,5-Speed,,Electric,170.0,12.9,612000.0,Kolkata,6
Hyundai,Hyundai i20,1.2 Magna Opt,Petrol,Hatchback,Manual,1st Owner,1,60000,2010,2010,1197.0,17.0,80.0,11.4,Others,In-Line Engine,5 Speed,FWD,Power,170.0,12.96,189000.0,Kolkata,15
Hyundai,Hyundai Creta,1.6 SX Automatic,Petrol,SUV,Automatic,1st Owner,1,25009,2018,2018,1591.0,14.8,121.3,151.0,Grey,VTVT Petrol Engine,6 Speed,FWD,Power,170.0,12.9,990000.0,Kolkata,7
Maruti,Maruti Swift,VXI,Petrol,Hatchback,Manual,1st Owner,1,46469,2020,2020,1197.0,22.38,88.5,113.0,Silver,K Series Dual jet,5-Speed,,Electric,170.0,12.9,534000.0,Kolkata,5
Hyundai,Hyundai Creta,1.6 VTVT SX Plus,Petrol,SUV,Manual,1st Owner,1,45000,2018,2018,1591.0,13.0,121.3,151.0,White,VTVT Petrol Engine,6 Speed,FWD,Power,170.0,12.9,800000.0,Kolkata,7
Hyundai,Hyundai Verna,SX Opt,Petrol,Sedan,Manual,1st Owner,1,31577,2020,2020,1497.0,17.7,113.18,143.8,Black,1.5 l MPi petrol,6 Speed,,Electric,170.0,12.9,983000.0,Kolkata,5
Maruti,Maruti Celerio,VXI AT,Petrol,Hatchback,Automatic,1st Owner,1,56005,2014,2014,998.0,23.1,67.04,90.0,Red,K10B Engine,5 Speed ,FWD,Power,154.5,14.350000000000001,281000.0,Kolkata,11
Maruti,Maruti Wagon R,VXI,Petrol,Hatchback,Manual,1st Owner,1,10005,2021,2021,998.0,21.79,67.05,90.0,Brown,K10B Petrol Engine,5 Speed,FWD,Power,170.0,14.350000000000001,535000.0,Kolkata,4
Hyundai,Hyundai Grand i10,1.2 Kappa Asta,Petrol,Hatchback,Manual,1st Owner,1,41163,2017,2017,1197.0,18.9,81.86,113.75,Red,Kappa VTVT Petrol Engine,5 Speed,FWD,Power,165.0,12.9,475000.0,Kolkata,8
Mercedes-Benz,Mercedes-Benz E-Class,Exclusive E 220d,Diesel,Sedan,Automatic,1st Owner,1,17839,2020,2020,1949.5,16.1,177.54999999999998,372.5,Grey,CDI In-line Engine,9 Speed,RWD,Electric,182.5,11.549999999999997,5300000.0,Kolkata,5
Toyota,Toyota Yaris,V,Petrol,Sedan,Manual,1st Owner,1,3800,2019,2019,1496.0,17.1,105.5,140.0,Red,1.5 Dual VVT-i Engine,6 Speed,FWD,Power,170.0,12.9,695000.0,Kolkata,6
Maruti,Maruti Wagon R,VXI,Petrol,Hatchback,Manual,1st Owner,1,34124,2018,2018,998.0,21.79,67.05,90.0,Blue,K10B Petrol Engine,5 Speed,FWD,Power,170.0,14.350000000000001,395000.0,Kolkata,7
Hyundai,Hyundai i20,1.4 CRDi Magna,Diesel,Hatchback,Manual,2nd Owner,2,50000,2012,2012,1396.0,21.9,90.0,22.4,Others,Diesel,5-Speed,,Power,170.0,12.9,200000.0,Kolkata,13
Honda,Honda City,i-VTEC VX,Petrol,Sedan,Manual,1st Owner,1,48168,2018,2018,1497.0,17.4,117.6,145.0,Maroon,i VTEC Engine,5 Speed,FWD,Power,182.5,11.549999999999997,750000.0,Kolkata,7
Mahindra,Mahindra Marazzo,M2 8Str BSIV,Diesel,MUV,Manual,3rd Owner,3,20000,2019,2019,1497.0,17.3,121.0,300.0,Others,D15 1.5 Liter Diesel Engine,6 Speed,FWD,Power,170.0,12.9,975000.0,Kolkata,6
Maruti,Maruti Swift Dzire,LXI,Petrol,Sedan,Manual,1st Owner,1,56357,2018,2018,1197.0,19.0,85.8,114.0,White,K Series VVT Engine,5 Speed,FWD,Power,169.0,12.6,480000.0,Kolkata,7
Maruti,Maruti Swift Dzire,VXi,Petrol,Sedan,Manual,1st Owner,1,60000,2010,2010,1298.0,17.5,85.8,114.0,Blue,In-Line Engine,5 Speed,2 WD,Power,170.0,12.9,245000.00000000003,Kolkata,15
Maruti,Maruti Baleno,Delta,Petrol,Hatchback,Manual,1st Owner,1,10585,2022,2022,1197.0,21.01,81.8,113.0,Blue,1.2L VVT Engine,5 Speed,FWD,Electric,170.0,12.36,719000.0,Kolkata,3
Honda,Honda Civic,1.8 V AT Elegance,Petrol,Sedan,Automatic,2nd Owner,2,50000,2012,2012,1799.0,13.1,132.0,17.5,Others,In-Line Engine,5 Speed,FWD,Power,182.5,11.549999999999997,375000.0,Kolkata,13
Maruti,Maruti Swift Dzire,VXi,Petrol,Sedan,Manual,1st Owner,1,60000,2010,2010,1298.0,17.5,85.8,114.0,Blue,In-Line Engine,5 Speed,2 WD,Power,170.0,12.9,245000.00000000003,Kolkata,15
Hyundai,Hyundai Creta,S BSVI,Petrol,SUV,Manual,1st Owner,1,17642,2020,2020,1497.0,19.255853130413264,113.18,143.8,White,1.5 L MPi Petrol,6-speed,,Power,170.0,12.9,1214000.0,Kolkata,5
Tata,Tata Tiago,1.05 Revotorq XZ Plus DualTone,Diesel,Hatchback,Manual,1st Owner,1,20000,2018,2018,1047.0,27.28,69.0,140.0,Others,Revotorq Engine,5 Speed,FWD,Power,154.5,14.350000000000001,438999.99999999994,Kolkata,7
Hyundai,Hyundai Grand i10 Nios,Asta,Petrol,Hatchback,Manual,1st Owner,1,9157,2021,2021,1197.0,20.7,81.86,113.8,Blue,1.2 Kappa petrol,5-Speed,,Electric,170.0,12.9,753000.0,Kolkata,4
Honda,Honda Amaze,S i-Vtech,Petrol,Sedan,Manual,2nd Owner,2,65979,2016,2016,1198.0,18.0,86.7,109.0,Others,i-VTEC Petrol Engine,5 Speed,FWD,Power,160.0,14.350000000000001,362000.0,Kolkata,9
Skoda,Skoda Rapid,1.6 TDI Active Plus,Diesel,Sedan,Manual,1st Owner,1,65000,2014,2014,1598.0,20.5,105.0,250.0,Golden,Turbocharged Diesel Engin,5 Speed,FWD,Power,170.0,12.9,300000.0,Kolkata,11
Datsun,Datsun RediGO,1.0 T Option,Petrol,Hatchback,Manual,2nd Owner,2,7940,2020,2020,999.0,22.5,67.0,91.0,Silver,1.0L Petrol Engine,5-Speed,2WD,Power,170.0,12.9,389000.0,Kolkata,5
Hyundai,Hyundai Santro Xing,GL,Petrol,Hatchback,Manual,4th Owner,3,100000,2010,2010,1086.0,19.255853130413264,62.0,96.1,Black,In-Line Engine,5 Speed,,Power,154.5,14.350000000000001,114999.99999999999,Kolkata,15
BMW,BMW 3 Series,320d Highline,Diesel,Sedan,Automatic,1st Owner,1,40000,2011,2011,1949.5,16.07,177.54999999999998,372.5,Red,In-Line Engine,6 Speed,,Power,182.5,11.549999999999997,865000.0,Kolkata,14
Fiat,Fiat Linea,Dynamic,Petrol,Sedan,Manual,2nd Owner,2,60000,2011,2011,1368.0,14.6,88.7,115.0,Gray,FIRE Engine,5 speed manual,FWD,Power,165.0,12.9,185000.0,Kolkata,14
